1,"BT Program Review and Revision ","BT Review",9
2,"EE and Secretary's Approval and Issuance",,13
3,"EE Approval and Issuance",,12
4,"Federal Register Review and Publication","Publication",14
5,"Framework Comment Period",,1
6,"Framework Public Meeting",,15
7,"Mandatory Concurrence","Concurrence",10
8,"NOPR Comment Period",,3
9,"NOPR Public Meeting",,17
10,"OMB Review",,11
11,"Preliminary Analyses Comment Period",,2
12,"Preliminary Analyses Public Meeting",,16
13,"Submit Draft Final Rule to DOE",,8
14,"Submit Draft Framework to DOE",,5
15,"Submit Draft NOPR to DOE",,7
16,"Submit Draft Preliminary Analyses to DOE",,6
17,"Team Analysis and Document Drafting","Team Analysis",4
